programme;experience_ml;experience_ir;experience_st;experience_db;gender;chatgpt_usage;birthday;count_students;stress_level;hours_spend_w_sport;bedtime;pleasant_thing_1;pleasant_thing_2
AI;yes;0;mu;ja;male;yes;2001;400;78;0;240;food;Travel
AI;yes;1;sigma;ja;female;yes;2002;321;100;2;272;nature;coffee
Econometrics;yes;1;mu;ja;male;no willing to say;2001;200;100;4;270;other;Aperol
Econometrics;yes;0;mu;nee;male;yes;2003;350;60;6;180;nature;Sun
Bioinformatics;yes;1;mu;ja;male;yes;2000;500;50;8;240;other;-
Econometrics;no;0;mu;nee;non-binary;no willing to say;2001;467;99,7;8;540;food;Bitterballen
Econometrics;no;0;mu;ja;female;yes;1999;500;60;4;272;nature;Good food
CS;yes;0;sigma;ja;male;no willing to say;2001;400;30;1;240;food;good grade
AI;no;0;mu;ja;female;yes;2001;500;60;3;272;nature;Sun2
CS;no;0;mu;ja;non-binary;no willing to say;2000;200;70;1;240;academic;Then smoke weed
AI;yes;1;sigma;ja;female;yes;1999;250;100;4;180;food;Nice company 
CS;yes;1;;ja;male;yes;1999;400;20;4,5;240;food;Beers
Other;yes;1;mu;ja;male;yes;2000;345;60;8;225;food;Good sleep 
AI;yes;1;mu;ja;male;no;2001;500;50;4;272;social;Dad’s card 
CS;yes;1;;ja;female;no;2001;200;70;2;240;academic;Good sleep
CS;no;0;mu;ja;male;yes;2001;500;100;0;360;academic;Sleeping
AI;yes;1;sigma;ja;male;yes;1982;400;50;7;240;lazy;More drugs
AI;no;0;mu;ja;female;yes;1998;400;30;10;240;food;Sports
Bioinformatics;yes;0;;nee;female;yes;2002;200;100;0;196;lazy;Nothing 
Econometrics;yes;0;sigma;ja;female;yes;2000;200;70;0;240;academic;Credit in balance
AI;yes;1;mu;ja;male;yes;2003;200;5;12;300;nature;More sun
AI;yes;1;mu;ja;male;yes;2001;500;8;6;240;other; 
AI;yes;1;mu;ja;male;yes;2001;300;100;10;300;lazy;Freetime
AI;no;0;mu;nee;male;yes;2000;300;20;3;272;social;Eating good food
AI;yes;0;mu;ja;female;yes;2003;300;50;4;210;nature;Activity 
